segment_id,start_lon,start_lat,end_lon,end_lat,material,diameter_m,length_m,zone_id,pipeline_type,data_quality_flag,assumed_age_years,design_lifespan_years,hw_c_value,start_node_id,end_node_id
15,75.884402,17.615467,75.883786,17.615487,GI,0.05,65.47318,zone_5,Distribution Pipeline,complete,30,40,100,1239,1197
16,75.883786,17.615487,75.883382,17.615503,GI,0.05,42.89707,zone_5,Distribution Pipeline,complete,30,40,100,1197,1169
17,75.883382,17.615503,75.883266,17.615507,GI,0.05,12.33308,zone_5,Distribution Pipeline,complete,30,40,100,1169,1160
18,75.895494,17.680412,75.895362,17.680113,GI,0.05,35.91911,zone_1,Distribution Pipeline,complete,30,40,100,2975,2953
19,75.895353,17.680117,75.895224,17.67984,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2953,2907
20,75.895112,17.680219,75.894983,17.679942,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2876,2853
21,75.89486,17.680325,75.894731,17.680048,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2835,2779
22,75.894609,17.680431,75.89448,17.680154,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2752,2723
23,75.894354,17.680539,75.894226,17.680261,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2704,2631
24,75.894097,17.680642,75.893969,17.680365,GI,0.05,33.58861,zone_1,Distribution Pipeline,complete,30,40,100,2608,2586
25,75.893849,17.680742,75.893721,17.680465,GI,0.05,33.58861,zone_1,Distribution Pipeline,complete,30,40,100,2553,2541
26,75.895352,17.679789,75.895471,17.680068,GI,0.05,33.40395,zone_1,Distribution Pipeline,complete,30,40,100,2952,2974
27,75.894052,17.678874,75.894023,17.678496,GI,0.05,42.01707,zone_1,Distribution Pipeline,complete,30,40,100,2607,2585
28,75.894362,17.678885,75.894388,17.678474,GI,0.05,45.56177,zone_1,Distribution Pipeline,complete,30,40,100,2703,2702
29,75.894479,17.67889,75.89451,17.678498,GI,0.05,43.53672,zone_1,Distribution Pipeline,complete,30,40,100,2722,2721
30,75.894748,17.678918,75.894775,17.678515,GI,0.05,44.6787,zone_1,Distribution Pipeline,complete,30,40,100,2778,2810
31,75.894945,17.678969,75.895092,17.678621,GI,0.05,41.63615,zone_1,Distribution Pipeline,complete,30,40,100,2833,2874
32,75.895192,17.67908,75.895379,17.678736,GI,0.05,42.97702,zone_1,Distribution Pipeline,complete,30,40,100,2906,2950
33,75.895408,17.679197,75.895608,17.678842,GI,0.05,44.62556,zone_1,Distribution Pipeline,complete,30,40,100,2951,2995
34,75.894971,17.67898,75.895251,17.679591,GI,0.05,73.85528,zone_1,Distribution Pipeline,complete,30,40,100,2852,2933
35,75.909579,17.69088,75.909528,17.691181,GI,0.05,33.73113,zone_2,Distribution Pipeline,complete,30,40,100,6021,6001
36,75.909714,17.690247,75.909579,17.69088,GI,0.05,71.45718,zone_2,Distribution Pipeline,complete,30,40,100,6036,6021
37,75.918348,17.649374,75.91771,17.649028,GI,0.05,77.75401,zone_5,Distribution Pipeline,complete,30,40,100,8156,8031
38,75.912859,17.65538,75.913996,17.655287,GI,0.05,121.12529,zone_8,Distribution Pipeline,complete,30,40,100,6779,7054
39,75.912962,17.656354,75.9141,17.656261,GI,0.05,121.12528,zone_8,Distribution Pipeline,complete,30,40,100,6806,7093
40,75.912914,17.655899,75.91405,17.655799,GI,0.05,121.0371,zone_8,Distribution Pipeline,complete,30,40,100,6780,7092
41,75.913334,17.656324,75.913368,17.656811,GI,0.05,54.10598,zone_8,Distribution Pipeline,complete,30,40,100,6894,6926
42,75.913807,17.656285,75.913848,17.656763,GI,0.05,53.17116,zone_8,Distribution Pipeline,complete,30,40,100,6992,6993
43,75.912844,17.655235,75.913991,17.655134,GI,0.05,122.2241,zone_8,Distribution Pipeline,complete,30,40,100,6756,7053
44,75.943771,17.668733,75.943974,17.66925,GI,0.05,61.15547,zone_2,Distribution Pipeline,complete,30,40,100,11447,
45,75.94406,17.668626,75.944228,17.669062,GI,0.05,51.50488,zone_2,Distribution Pipeline,complete,30,40,100,11486,11500
46,75.944246,17.668196,75.944085,17.667749,GI,0.05,52.33303,zone_2,Distribution Pipeline,complete,30,40,100,11498,11484
47,75.895494,17.680412,75.895362,17.680113,GI,0.05,35.91911,zone_1,Distribution Pipeline,complete,30,40,100,2975,2953
48,75.895353,17.680117,75.895224,17.67984,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2953,2907
49,75.895112,17.680219,75.894983,17.679942,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2876,2853
50,75.89486,17.680325,75.894731,17.680048,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2835,2779
51,75.894609,17.680431,75.89448,17.680154,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2752,2723
52,75.894354,17.680539,75.894226,17.680261,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100,2704,2631
53,75.894097,17.680642,75.893969,17.680365,GI,0.05,33.58861,zone_1,Distribution Pipeline,complete,30,40,100,2608,2586
54,75.893849,17.680742,75.893721,17.680465,GI,0.05,33.58861,zone_1,Distribution Pipeline,complete,30,40,100,2553,2541
55,75.895352,17.679789,75.895471,17.680068,GI,0.05,33.40395,zone_1,Distribution Pipeline,complete,30,40,100,2952,2974
56,75.894052,17.678874,75.894023,17.678496,GI,0.05,42.01707,zone_1,Distribution Pipeline,complete,30,40,100,2607,2585
57,75.894362,17.678885,75.894388,17.678474,GI,0.05,45.56177,zone_1,Distribution Pipeline,complete,30,40,100,2703,2702
58,75.894479,17.67889,75.89451,17.678498,GI,0.05,43.53672,zone_1,Distribution Pipeline,complete,30,40,100,2722,2721
59,75.894748,17.678918,75.894775,17.678515,GI,0.05,44.6787,zone_1,Distribution Pipeline,complete,30,40,100,2778,2810
60,75.894945,17.678969,75.895092,17.678621,GI,0.05,41.63615,zone_1,Distribution Pipeline,complete,30,40,100,2833,2874
61,75.895192,17.67908,75.895379,17.678736,GI,0.05,42.97702,zone_1,Distribution Pipeline,complete,30,40,100,2906,2950
62,75.895408,17.679197,75.895608,17.678842,GI,0.05,44.62556,zone_1,Distribution Pipeline,complete,30,40,100,2951,2995
63,75.894971,17.67898,75.895251,17.679591,GI,0.05,73.85528,zone_1,Distribution Pipeline,complete,30,40,100,2852,2933
64,75.895394,17.645783,75.894724,17.64573,GI,0.05,71.33864,zone_6,Distribution Pipeline,complete,30,40,100,2940,2765
65,75.895353,17.646181,75.894688,17.64613,GI,0.05,70.83274,zone_6,Distribution Pipeline,complete,30,40,100,2941,2766
66,75.895312,17.646592,75.894623,17.646536,GI,0.05,73.36264,zone_6,Distribution Pipeline,complete,30,40,100,2917,2735
67,75.895271,17.646994,75.894591,17.646959,GI,0.05,72.24583,zone_6,Distribution Pipeline,complete,30,40,100,2918,2736
68,75.896102,17.646715,75.895494,17.646657,GI,0.05,64.8835,zone_6,Distribution Pipeline,complete,30,40,100,3085,2963
69,75.895955,17.645884,75.895463,17.64584,GI,0.05,52.43474,zone_6,Distribution Pipeline,complete,30,40,100,3065,2961
70,75.895758,17.646682,75.895682,17.647404,GI,0.05,80.23589,zone_6,Distribution Pipeline,complete,30,40,100,3022,3005
71,75.902132,17.639462,75.901922,17.639048,GI,0.05,51.0051,zone_5,Distribution Pipeline,complete,30,40,100,4436,4399
72,75.912207,17.637841,75.91239,17.638024,GI,0.05,28.06081,zone_5,Distribution Pipeline,complete,30,40,100,6564,6633
73,75.912261,17.63751,75.912597,17.637851,GI,0.05,51.88847,zone_5,Distribution Pipeline,complete,30,40,100,6593,6705
74,75.907387,17.637653,75.907862,17.637491,GI,0.05,53.57381,zone_5,Distribution Pipeline,complete,30,40,100,5436,5574
75,75.902362,17.630632,75.902357,17.629309,GI,0.05,146.35044,zone_5,Distribution Pipeline,complete,30,40,100,4505,4504
76,75.902003,17.630637,75.90195,17.629344,GI,0.05,143.20374,zone_5,Distribution Pipeline,complete,30,40,100,4413,4398
77,75.90167,17.630641,75.901623,17.629343,GI,0.05,143.79226,zone_5,Distribution Pipeline,complete,30,40,100,4357,4334
78,75.901311,17.630646,75.901276,17.629362,GI,0.05,142.19915,zone_5,Distribution Pipeline,complete,30,40,100,4250,4249
79,75.90069,17.629339,75.900677,17.62895,GI,0.05,43.07579,zone_5,Distribution Pipeline,complete,30,40,100,4102,4101
80,75.900467,17.629346,75.900465,17.628941,GI,0.05,44.7836,zone_5,Distribution Pipeline,complete,30,40,100,4046,4045
81,75.900249,17.629353,75.900244,17.628933,GI,0.05,46.5116,zone_5,Distribution Pipeline,complete,30,40,100,3954,3953
82,75.900034,17.62936,75.900028,17.628955,GI,0.05,44.89238,zone_5,Distribution Pipeline,complete,30,40,100,3904,3903
83,75.900141,17.629357,75.900151,17.629943,GI,0.05,64.93215,zone_5,Distribution Pipeline,complete,30,40,100,3926,3955
84,75.900573,17.630649,75.900573,17.630027,GI,0.05,68.87489,zone_5,Distribution Pipeline,complete,30,40,100,4080,4079
85,75.900257,17.630648,75.900241,17.630045,GI,0.05,66.85717,zone_5,Distribution Pipeline,complete,30,40,100,3997,3956
86,75.908426,17.635615,75.908507,17.635883,GI,0.05,30.85305,zone_5,Distribution Pipeline,complete,30,40,100,5678,5700
87,75.908252,17.635672,75.908428,17.635623,GI,0.05,19.47927,zone_5,Distribution Pipeline,complete,30,40,100,5654,5678
88,75.909896,17.635786,75.909959,17.635185,GI,0.05,66.82357,zone_5,Distribution Pipeline,complete,30,40,100,6058,6075
89,75.909597,17.635757,75.909643,17.635279,GI,0.05,53.20756,zone_5,Distribution Pipeline,complete,30,40,100,6003,6002
90,75.909288,17.635729,75.909336,17.63509,GI,0.05,70.83614,zone_5,Distribution Pipeline,complete,30,40,100,5922,5921
91,75.909379,17.636804,75.908947,17.636979,GI,0.05,49.84978,zone_5,Distribution Pipeline,complete,30,40,100,5949,5822
92,75.909102,17.636367,75.90907,17.636833,GI,0.05,51.62351,zone_5,Distribution Pipeline,complete,30,40,100,5876,5877
93,75.909141,17.635715,75.909107,17.636317,GI,0.05,66.69956,zone_5,Distribution Pipeline,complete,30,40,100,5874,5875
94,75.909757,17.636266,75.909784,17.635777,GI,0.05,54.20068,zone_5,Distribution Pipeline,complete,30,40,100,6039,6038
95,75.910118,17.636177,75.910133,17.635788,GI,0.05,43.01009,zone_5,Distribution Pipeline,complete,30,40,100,6101,6100
96,75.902834,17.638015,75.902774,17.638306,GI,0.05,32.88412,zone_5,Distribution Pipeline,complete,30,40,100,4595,4596
97,75.903176,17.637275,75.902866,17.637223,GI,0.05,33.40855,zone_5,Distribution Pipeline,complete,30,40,100,4684,4617
98,75.903088,17.637764,75.902716,17.63771,GI,0.05,39.90722,zone_5,Distribution Pipeline,complete,30,40,100,4654,4567
99,75.903125,17.63758,75.902762,17.637532,GI,0.05,38.88522,zone_5,Distribution Pipeline,complete,30,40,100,4653,4594
100,75.903923,17.63746,75.903803,17.638007,GI,0.05,61.85557,zone_5,Distribution Pipeline,complete,30,40,100,4805,4786
101,75.8946,17.678895,75.894646,17.678515,GI,0.05,42.38895,zone_1,Distribution Pipeline,complete,30,40,100,2750,2749
102,75.899635,17.634368,75.900103,17.634366,GI,0.05,49.58977,zone_5,Distribution Pipeline,complete,30,40,100,3809,3929
103,75.899641,17.634184,75.899962,17.633725,GI,0.05,84.78307,zone_5,Distribution Pipeline,complete,30,40,100,3808,3906
104,75.89966,17.633512,75.900131,17.633512,GI,0.05,49.97374,zone_5,Distribution Pipeline,complete,30,40,100,3833,3928
105,75.899666,17.633278,75.90012,17.633285,GI,0.05,48.09078,zone_5,Distribution Pipeline,complete,30,40,100,3832,3927
106,75.899628,17.634621,75.899669,17.633183,GI,0.05,159.23573,zone_5,Distribution Pipeline,complete,30,40,100,3810,3831
107,75.8993,17.634613,75.900081,17.634633,GI,0.05,82.91908,zone_5,Distribution Pipeline,complete,30,40,100,3755,3930
108,75.8993,17.634613,75.898999,17.633673,GI,0.05,138.77899,zone_5,Distribution Pipeline,complete,30,40,100,3755,3699
109,75.89934,17.633629,75.899051,17.633181,GI,0.05,79.10293,zone_5,Distribution Pipeline,complete,30,40,100,3754,3719
110,75.89934,17.633629,75.899605,17.633629,GI,0.05,28.04585,zone_5,Distribution Pipeline,complete,30,40,100,3754,3807
111,75.899051,17.633618,75.898391,17.633145,GI,0.05,122.71062,zone_5,Distribution Pipeline,complete,30,40,100,3720,3592
112,75.898961,17.634601,75.898177,17.634595,GI,0.05,83.20473,zone_5,Distribution Pipeline,complete,30,40,100,3700,3554
113,75.898368,17.633598,75.898058,17.633601,GI,0.05,32.87032,zone_5,Distribution Pipeline,complete,30,40,100,3593,3528
114,75.923157,17.636058,75.924172,17.63642,GI,0.05,114.87845,zone_5,Distribution Pipeline,complete,30,40,100,8813,8949
115,75.928263,17.67033,75.928014,17.669419,GI,0.05,104.23306,zone_3,Distribution Pipeline,complete,30,40,100,9630,9591
116,75.928561,17.670264,75.928325,17.669318,GI,0.05,107.69316,zone_3,Distribution Pipeline,complete,30,40,100,9685,9629
117,75.928484,17.669954,75.929777,17.669667,GI,0.05,140.81816,zone_3,Distribution Pipeline,complete,30,40,100,9669,9894
118,75.928369,17.669493,75.929636,17.669217,GI,0.05,137.95463,zone_3,Distribution Pipeline,complete,30,40,100,9650,9856
119,75.929909,17.669968,75.929657,17.669016,GI,0.05,108.65494,zone_3,Distribution Pipeline,complete,30,40,100,9918,9876
120,75.928903,17.670839,75.92935,17.670428,GI,0.05,84.78343,zone_3,Distribution Pipeline,complete,30,40,100,9735,9802
121,75.929481,17.670709,75.929731,17.670332,GI,0.05,68.38836,zone_3,Distribution Pipeline,complete,30,40,100,9836,9878
122,75.929895,17.670617,75.929728,17.670108,GI,0.05,59.04271,zone_3,Distribution Pipeline,complete,30,40,100,9919,9877
123,75.930137,17.670563,75.929985,17.670004,GI,0.05,63.94974,zone_3,Distribution Pipeline,complete,30,40,100,9953,9937
124,75.928868,17.671236,75.928808,17.670914,GI,0.05,36.21646,zone_3,Distribution Pipeline,complete,30,40,100,9736,9716
125,75.929203,17.67118,75.929127,17.670834,GI,0.05,39.13678,zone_3,Distribution Pipeline,complete,30,40,100,9787,9773
126,75.930045,17.671058,75.929984,17.670659,GI,0.05,44.65029,zone_3,Distribution Pipeline,complete,30,40,100,9939,9938
127,75.90305,17.688454,75.903449,17.688684,GI,0.05,49.39652,zone_2,Distribution Pipeline,complete,30,40,100,,4726
128,75.883713,17.666797,75.883952,17.666394,GI,0.05,67.31597,zone_6,Distribution Pipeline,complete,30,40,100,1192,1215
129,75.842563,17.668533,75.839273,17.670278,GI,0.05,565.60856,zone_6,Distribution Pipeline,complete,30,40,100,42,26
130,75.944072,17.668263,75.944554,17.668944,GI,0.05,108.96787,zone_2,Distribution Pipeline,complete,30,40,100,11485,11547
131,75.944072,17.668263,75.943997,17.667747,GI,0.05,133.48321,zone_2,Distribution Pipeline,complete,30,40,100,11485,11472
132,75.914905,17.686505,75.914769,17.686942,GI,0.05,50.41313,zone_2,Distribution Pipeline,complete,30,40,100,7385,7354
133,75.8946,17.678895,75.894646,17.678515,GI,0.05,42.38895,zone_1,Distribution Pipeline,complete,30,40,100,2750,2749
134,75.886974,17.679695,75.886642,17.679991,GI,0.05,48.09208,zone_1,Distribution Pipeline,complete,30,40,100,1565,1503
135,75.886772,17.679521,75.886438,17.679836,GI,0.05,49.7996,zone_1,Distribution Pipeline,complete,30,40,100,1537,1470
136,75.886572,17.679375,75.886256,17.679659,GI,0.05,45.97427,zone_1,Distribution Pipeline,complete,30,40,100,1502,1456
137,75.886441,17.679165,75.886227,17.679385,GI,0.05,33.25465,zone_1,Distribution Pipeline,complete,30,40,100,1469,1440
138,75.886035,17.679641,75.885737,17.679349,GI,0.05,45.21652,zone_1,Distribution Pipeline,complete,30,40,100,1414,1372
139,75.886873,17.680411,75.886686,17.680591,GI,0.05,28.08035,zone_1,Distribution Pipeline,complete,30,40,100,1553,1520
140,75.886744,17.680282,75.88653,17.68048,GI,0.05,31.55327,zone_1,Distribution Pipeline,complete,30,40,100,1519,1486
141,75.886604,17.680144,75.886362,17.680384,GI,0.05,36.95113,zone_1,Distribution Pipeline,complete,30,40,100,1504,1471
142,75.886469,17.68001,75.886202,17.680269,GI,0.05,40.27081,zone_1,Distribution Pipeline,complete,30,40,100,1485,1442
143,75.886342,17.679883,75.886014,17.680186,GI,0.05,48.3197,zone_1,Distribution Pipeline,complete,30,40,100,1457,1415
144,75.885737,17.679349,75.885498,17.679577,GI,0.05,35.78588,zone_1,Distribution Pipeline,complete,30,40,100,1372,1355
145,75.885899,17.679508,75.885607,17.679779,GI,0.05,43.11759,zone_1,Distribution Pipeline,complete,30,40,100,1398,1364
146,75.886028,17.679635,75.885706,17.679959,GI,0.05,49.57524,zone_1,Distribution Pipeline,complete,30,40,100,1414,1373
147,75.886201,17.679744,75.885847,17.680084,GI,0.05,53.19909,zone_1,Distribution Pipeline,complete,30,40,100,1441,1386
148,75.894741,17.633117,75.895213,17.632939,GI,0.05,53.85535,zone_5,Distribution Pipeline,complete,30,40,100,2762,2886
149,75.894837,17.633349,75.895383,17.633146,GI,0.05,62.14206,zone_5,Distribution Pipeline,complete,30,40,100,2788,2936
150,75.894906,17.633518,75.89515,17.633427,GI,0.05,27.78914,zone_5,Distribution Pipeline,complete,30,40,100,2818,
151,75.894961,17.633655,75.895359,17.633501,GI,0.05,45.47796,zone_5,Distribution Pipeline,complete,30,40,100,2844,2937
152,75.895072,17.633929,75.895491,17.633768,GI,0.05,47.88801,zone_5,Distribution Pipeline,complete,30,40,100,2856,2958
153,75.895,17.633019,75.894703,17.63232,GI,0.05,83.54244,zone_5,Distribution Pipeline,complete,30,40,100,2843,2761
154,75.887358,17.642872,75.88744,17.643254,GI,0.05,43.1699,zone_5,Distribution Pipeline,complete,30,40,100,1636,1637
155,75.887623,17.64281,75.887686,17.643184,GI,0.05,42.02633,zone_5,Distribution Pipeline,complete,30,40,100,1675,1682
156,75.887865,17.642752,75.887938,17.643127,GI,0.05,42.27307,zone_5,Distribution Pipeline,complete,30,40,100,1713,1714
157,75.888113,17.642696,75.888186,17.643064,GI,0.05,41.45374,zone_5,Distribution Pipeline,complete,30,40,100,1748,1772
158,75.888367,17.64264,75.888444,17.643005,GI,0.05,41.14397,zone_5,Distribution Pipeline,complete,30,40,100,1805,1806
159,75.8887,17.642568,75.888769,17.642936,GI,0.05,41.46002,zone_5,Distribution Pipeline,complete,30,40,100,1848,1864
160,75.889,17.642502,75.88908,17.642867,GI,0.05,41.27563,zone_5,Distribution Pipeline,complete,30,40,100,1894,1908
161,75.889459,17.643153,75.888637,17.643296,GI,0.05,88.65674,zone_5,Distribution Pipeline,complete,30,40,100,1970,1834
162,75.890287,17.642226,75.89026,17.642231,GI,0.05,2.84714,zone_5,Distribution Pipeline,complete,30,40,100,2073,2073
163,75.901728,17.639289,75.901585,17.638983,GI,0.05,38.59111,zone_5,Distribution Pipeline,complete,30,40,100,4360,4335
164,75.895719,17.645019,75.894641,17.647803,GI,0.05,429.4971,zone_6,Distribution Pipeline,complete,30,40,100,3004,2737
165,75.894738,17.64492,75.894418,17.647909,GI,0.05,332.53969,zone_6,Distribution Pipeline,complete,30,40,100,2764,2682
166,75.895853,17.645381,75.894778,17.645295,GI,0.05,114.57305,zone_6,Distribution Pipeline,complete,30,40,100,3041,2798
167,75.895437,17.645362,75.895262,17.647088,GI,0.05,191.91844,zone_6,Distribution Pipeline,complete,30,40,100,2939,2919
168,75.896029,17.64629,75.895513,17.64624,GI,0.05,61.89553,zone_6,Distribution Pipeline,complete,30,40,100,3066,2962
169,75.893059,17.640668,75.892515,17.640864,GI,0.05,68.40847,zone_5,Distribution Pipeline,complete,30,40,100,2437,2353
170,75.901458,17.639401,75.901816,17.639471,GI,0.05,53.39448,zone_5,Distribution Pipeline,complete,30,40,100,4305,4384
171,75.891818,17.642573,75.89087,17.642787,GI,0.05,103.31632,zone_5,Distribution Pipeline,complete,30,40,100,2257,2140
172,75.893643,17.642973,75.892918,17.643328,GI,0.05,86.33451,zone_5,Distribution Pipeline,complete,30,40,100,2520,2405
173,75.892892,17.64332,75.893221,17.643845,GI,0.05,67.81626,zone_5,Distribution Pipeline,complete,30,40,100,2405,2457
174,75.893054,17.64358,75.893418,17.643353,GI,0.05,46.06659,zone_5,Distribution Pipeline,complete,30,40,100,2438,2487
175,75.893153,17.643738,75.893519,17.643511,GI,0.05,46.17023,zone_5,Distribution Pipeline,complete,30,40,100,2456,2501
176,75.892655,17.646085,75.892663,17.645807,GI,0.05,30.8406,zone_6,Distribution Pipeline,complete,30,40,100,2379,2378
177,75.891438,17.642656,75.890951,17.642396,GI,0.05,84.00295,zone_5,Distribution Pipeline,complete,30,40,100,2205,2152
178,75.891009,17.642755,75.891343,17.642989,GI,0.05,63.30471,zone_5,Distribution Pipeline,complete,30,40,100,2153,2196
179,75.890693,17.642811,75.890325,17.642886,GI,0.05,39.98627,zone_5,Distribution Pipeline,complete,30,40,100,2129,2074
180,75.890678,17.642149,75.89026,17.642231,GI,0.05,45.2701,zone_5,Distribution Pipeline,complete,30,40,100,2128,2073
181,75.921923,17.639443,75.921739,17.639899,GI,0.05,67.27639,zone_5,Distribution Pipeline,complete,30,40,100,8595,8567
182,75.921932,17.639039,75.921923,17.639443,GI,0.05,44.7493,zone_5,Distribution Pipeline,complete,30,40,100,8594,8595
183,75.921035,17.639313,75.921572,17.638749,GI,0.05,84.45895,zone_5,Distribution Pipeline,complete,30,40,100,8482,8557
184,75.921366,17.638965,75.921839,17.639367,GI,0.05,67.04674,zone_5,Distribution Pipeline,complete,30,40,100,8529,8579
185,75.900502,17.629345,75.900509,17.629922,GI,0.05,63.87746,zone_5,Distribution Pipeline,complete,30,40,100,4046,4047
186,75.904426,17.630313,75.904936,17.629977,GI,0.05,89.47255,zone_5,Distribution Pipeline,complete,30,40,100,4901,4993
187,75.911209,17.633438,75.911423,17.633441,GI,0.05,89.64576,zone_5,Distribution Pipeline,complete,30,40,100,6371,6405
188,75.90801,17.635112,75.908263,17.635947,GI,0.05,96.28709,zone_5,Distribution Pipeline,complete,30,40,100,5590,5655
189,75.909416,17.636393,75.908744,17.636969,GI,0.05,137.38928,zone_5,Distribution Pipeline,complete,30,40,100,5948,5763
190,75.90391,17.638409,75.902834,17.638015,GI,0.05,135.90547,zone_5,Distribution Pipeline,complete,30,40,100,4806,4595
191,75.903538,17.637395,75.903443,17.637923,GI,0.05,59.2295,zone_5,Distribution Pipeline,complete,30,40,100,4731,4718
192,75.912313,17.632882,75.912287,17.632959,GI,0.05,8.96182,zone_5,Distribution Pipeline,complete,30,40,100,6591,6592
193,75.90294,17.639511,75.902119,17.638682,GI,0.05,126.52524,zone_5,Distribution Pipeline,complete,30,40,100,4618,4435
194,75.909432,17.626015,75.909396,17.625,GI,0.05,112.43547,zone_5,Distribution Pipeline,complete,30,40,100,5944,5943
195,75.909396,17.625,75.908571,17.624841,GI,0.05,103.75143,zone_5,Distribution Pipeline,complete,30,40,100,5943,5726
196,75.876303,17.698686,75.876452,17.69895,PVC,0.05,33.20672,zone_1,Distribution Pipeline,complete,10,25,150,543,554
197,75.876067,17.698805,75.876233,17.699077,PVC,0.05,34.83185,zone_1,Distribution Pipeline,complete,10,25,150,537,541
198,75.87583,17.698924,75.875992,17.699216,PVC,0.05,36.54379,zone_1,Distribution Pipeline,complete,10,25,150,522,532
199,75.87559,17.699045,75.875761,17.699349,PVC,0.05,38.22183,zone_1,Distribution Pipeline,complete,10,25,150,513,523
200,75.875152,17.69925,75.87534,17.699579,PVC,0.05,41.50993,zone_1,Distribution Pipeline,complete,10,25,150,,498
201,75.887928,17.597926,75.887868,17.597894,PVC,0.05,7.32292,zone_5,Distribution Pipeline,complete,10,25,150,1706,1706
202,75.887868,17.597894,75.887288,17.598547,PVC,0.05,94.98792,zone_5,Distribution Pipeline,complete,10,25,150,1706,1605
203,75.887288,17.598547,75.886775,17.599078,PVC,0.05,80.05929,zone_5,Distribution Pipeline,complete,10,25,150,1605,1523
204,75.886775,17.599078,75.88636,17.599402,PVC,0.05,56.84947,zone_5,Distribution Pipeline,complete,10,25,150,1523,1459
205,75.88636,17.599402,75.885995,17.59961,PVC,0.05,45.005,zone_5,Distribution Pipeline,complete,10,25,150,1459,1399
206,75.885995,17.59961,75.885911,17.599753,PVC,0.05,18.17153,zone_5,Distribution Pipeline,complete,10,25,150,1399,1387
207,75.885911,17.599753,75.885752,17.600481,PVC,0.05,82.33789,zone_5,Distribution Pipeline,complete,10,25,150,1387,1375
208,75.885752,17.600481,75.885722,17.600593,PVC,0.05,12.88502,zone_5,Distribution Pipeline,complete,10,25,150,1375,1367
209,75.885722,17.600593,75.885558,17.60073,PVC,0.05,23.05852,zone_5,Distribution Pipeline,complete,10,25,150,1367,1356
210,75.885558,17.60073,75.885363,17.600856,PVC,0.05,24.94278,zone_5,Distribution Pipeline,complete,10,25,150,1356,1334
211,75.885363,17.600856,75.885001,17.600969,PVC,0.05,40.36126,zone_5,Distribution Pipeline,complete,10,25,150,1334,1291
212,75.885001,17.600969,75.884728,17.600954,PVC,0.05,29.05985,zone_5,Distribution Pipeline,complete,10,25,150,1291,1266
213,75.884585,17.600965,75.883843,17.600887,PVC,0.05,79.213,zone_5,Distribution Pipeline,complete,10,25,150,1253,1196
214,75.883843,17.600887,75.882703,17.600889,PVC,0.05,121.06962,zone_5,Distribution Pipeline,complete,10,25,150,1196,1119
