segment_id,pss,risk_level,dominant_factor,psi_n,cff_n,adf
151,0.188,LOW,ADF,0.0,0.0,0.75
152,0.188,LOW,ADF,0.0,0.0,0.75
153,0.188,LOW,ADF,0.0,0.0,0.75
154,0.188,LOW,ADF,0.0,0.0,0.75
155,0.188,LOW,ADF,0.0,0.0,0.75
156,0.188,LOW,ADF,0.0,0.0,0.75
157,0.188,LOW,ADF,0.0,0.0,0.75
158,0.188,LOW,ADF,0.0,0.0,0.75
159,0.188,LOW,ADF,0.0,0.0,0.75
160,0.188,LOW,ADF,0.0,0.0,0.75
161,0.188,LOW,ADF,0.0,0.0,0.75
162,0.188,LOW,ADF,0.0,0.0,0.75
163,0.188,LOW,ADF,0.0,0.0,0.75
164,0.188,LOW,ADF,0.0,0.0,0.75
165,0.188,LOW,ADF,0.0,0.0,0.75
166,0.188,LOW,ADF,0.0,0.0,0.75
167,0.188,LOW,ADF,0.0,0.0,0.75
168,0.188,LOW,ADF,0.0,0.0,0.75
169,0.188,LOW,ADF,0.0,0.0,0.75
170,0.188,LOW,ADF,0.0,0.0,0.75
171,0.188,LOW,ADF,0.0,0.0,0.75
172,0.188,LOW,ADF,0.0,0.0,0.75
173,0.188,LOW,ADF,0.0,0.0,0.75
174,0.188,LOW,ADF,0.0,0.0,0.75
175,0.188,LOW,ADF,0.0,0.0,0.75
176,0.188,LOW,ADF,0.0,0.0,0.75
177,0.188,LOW,ADF,0.0,0.0,0.75
178,0.188,LOW,ADF,0.0,0.0,0.75
179,0.188,LOW,ADF,0.0,0.0,0.75
180,0.188,LOW,ADF,0.0,0.0,0.75
181,0.188,LOW,ADF,0.0,0.0,0.75
182,0.188,LOW,ADF,0.0,0.0,0.75
183,0.188,LOW,ADF,0.0,0.0,0.75
184,0.188,LOW,ADF,0.0,0.0,0.75
185,0.188,LOW,ADF,0.0,0.0,0.75
186,0.188,LOW,ADF,0.0,0.0,0.75
187,0.188,LOW,ADF,0.0,0.0,0.75
188,0.188,LOW,ADF,0.0,0.0,0.75
189,0.188,LOW,ADF,0.0,0.0,0.75
190,0.188,LOW,ADF,0.0,0.0,0.75
191,0.188,LOW,ADF,0.0,0.0,0.75
192,0.188,LOW,ADF,0.0,0.0,0.75
193,0.188,LOW,ADF,0.0,0.0,0.75
194,0.188,LOW,ADF,0.0,0.0,0.75
195,0.188,LOW,ADF,0.0,0.0,0.75
196,0.1,LOW,ADF,0.0,0.0,0.4
197,0.1,LOW,ADF,0.0,0.0,0.4
198,0.1,LOW,ADF,0.0,0.0,0.4
199,0.1,LOW,ADF,0.0,0.0,0.4
201,0.1,LOW,ADF,0.0,0.0,0.4
202,0.1,LOW,ADF,0.0,0.0,0.4
203,0.1,LOW,ADF,0.0,0.0,0.4
204,0.1,LOW,ADF,0.0,0.0,0.4
205,0.1,LOW,ADF,0.0,0.0,0.4
206,0.1,LOW,ADF,0.0,0.0,0.4
207,0.1,LOW,ADF,0.0,0.0,0.4
208,0.1,LOW,ADF,0.0,0.0,0.4
209,0.1,LOW,ADF,0.0,0.0,0.4
210,0.1,LOW,ADF,0.0,0.0,0.4
211,0.1,LOW,ADF,0.0,0.0,0.4
212,0.1,LOW,ADF,0.0,0.0,0.4
213,0.1,LOW,ADF,0.0,0.0,0.4
214,0.1,LOW,ADF,0.0,0.0,0.4
215,0.1,LOW,ADF,0.0,0.0,0.4
216,0.1,LOW,ADF,0.0,0.0,0.4
217,0.1,LOW,ADF,0.0,0.0,0.4
218,0.1,LOW,ADF,0.0,0.0,0.4
219,0.1,LOW,ADF,0.0,0.0,0.4
220,0.1,LOW,ADF,0.0,0.0,0.4
221,0.1,LOW,ADF,0.0,0.0,0.4
222,0.1,LOW,ADF,0.0,0.0,0.4
223,0.1,LOW,ADF,0.0,0.0,0.4
224,0.1,LOW,ADF,0.0,0.0,0.4
225,0.1,LOW,ADF,0.0,0.0,0.4
226,0.1,LOW,ADF,0.0,0.0,0.4
227,0.1,LOW,ADF,0.0,0.0,0.4
228,0.1,LOW,ADF,0.0,0.0,0.4
229,0.1,LOW,ADF,0.0,0.0,0.4
230,0.1,LOW,ADF,0.0,0.0,0.4
231,0.1,LOW,ADF,0.0,0.0,0.4
232,0.1,LOW,ADF,0.0,0.0,0.4
233,0.1,LOW,ADF,0.0,0.0,0.4
234,0.1,LOW,ADF,0.0,0.0,0.4
235,0.1,LOW,ADF,0.0,0.0,0.4
236,0.1,LOW,ADF,0.0,0.0,0.4
237,0.1,LOW,ADF,0.0,0.0,0.4
238,0.1,LOW,ADF,0.0,0.0,0.4
239,0.1,LOW,ADF,0.0,0.0,0.4
240,0.1,LOW,ADF,0.0,0.0,0.4
241,0.1,LOW,ADF,0.0,0.0,0.4
242,0.1,LOW,ADF,0.0,0.0,0.4
243,0.1,LOW,ADF,0.0,0.0,0.4
244,0.1,LOW,ADF,0.0,0.0,0.4
245,0.167,LOW,ADF,0.0,0.0,0.667
246,0.188,LOW,ADF,0.0,0.0,0.75
247,0.188,LOW,ADF,0.0,0.0,0.75
248,0.188,LOW,ADF,0.0,0.0,0.75
249,0.188,LOW,ADF,0.0,0.0,0.75
250,0.188,LOW,ADF,0.0,0.0,0.75
251,0.188,LOW,ADF,0.0,0.0,0.75
252,0.188,LOW,ADF,0.0,0.0,0.75
253,0.188,LOW,ADF,0.0,0.0,0.75
254,0.188,LOW,ADF,0.0,0.0,0.75
255,0.188,LOW,ADF,0.0,0.0,0.75
256,0.188,LOW,ADF,0.0,0.0,0.75
257,0.167,LOW,ADF,0.0,0.0,0.667
258,0.1,LOW,ADF,0.0,0.0,0.4
259,0.1,LOW,ADF,0.0,0.0,0.4
260,0.1,LOW,ADF,0.0,0.0,0.4
261,0.1,LOW,ADF,0.0,0.0,0.4
262,0.1,LOW,ADF,0.0,0.0,0.4
263,0.1,LOW,ADF,0.0,0.0,0.4
264,0.1,LOW,ADF,0.0,0.0,0.4
265,0.1,LOW,ADF,0.0,0.0,0.4
266,0.1,LOW,ADF,0.0,0.0,0.4
267,0.1,LOW,ADF,0.0,0.0,0.4
268,0.1,LOW,ADF,0.0,0.0,0.4
269,0.1,LOW,ADF,0.0,0.0,0.4
270,0.1,LOW,ADF,0.0,0.0,0.4
271,0.1,LOW,ADF,0.0,0.0,0.4
272,0.1,LOW,ADF,0.0,0.0,0.4
273,0.1,LOW,ADF,0.0,0.0,0.4
274,0.1,LOW,ADF,0.0,0.0,0.4
275,0.1,LOW,ADF,0.0,0.0,0.4
276,0.1,LOW,ADF,0.0,0.0,0.4
277,0.1,LOW,ADF,0.0,0.0,0.4
278,0.1,LOW,ADF,0.0,0.0,0.4
279,0.1,LOW,ADF,0.0,0.0,0.4
280,0.1,LOW,ADF,0.0,0.0,0.4
281,0.1,LOW,ADF,0.0,0.0,0.4
282,0.1,LOW,ADF,0.0,0.0,0.4
283,0.1,LOW,ADF,0.0,0.0,0.4
284,0.1,LOW,ADF,0.0,0.0,0.4
285,0.1,LOW,ADF,0.0,0.0,0.4
286,0.1,LOW,ADF,0.0,0.0,0.4
287,0.1,LOW,ADF,0.0,0.0,0.4
288,0.1,LOW,ADF,0.0,0.0,0.4
289,0.1,LOW,ADF,0.0,0.0,0.4
290,0.1,LOW,ADF,0.0,0.0,0.4
291,0.1,LOW,ADF,0.0,0.0,0.4
292,0.1,LOW,ADF,0.0,0.0,0.4
293,0.1,LOW,ADF,0.0,0.0,0.4
294,0.1,LOW,ADF,0.0,0.0,0.4
295,0.1,LOW,ADF,0.0,0.0,0.4
296,0.1,LOW,ADF,0.0,0.0,0.4
297,0.1,LOW,ADF,0.0,0.0,0.4
298,0.1,LOW,ADF,0.0,0.0,0.4
299,0.1,LOW,ADF,0.0,0.0,0.4
300,0.1,LOW,ADF,0.0,0.0,0.4
301,0.1,LOW,ADF,0.0,0.0,0.4
302,0.1,LOW,ADF,0.0,0.0,0.4
303,0.1,LOW,ADF,0.0,0.0,0.4
304,0.1,LOW,ADF,0.0,0.0,0.4
305,0.1,LOW,ADF,0.0,0.0,0.4
306,0.1,LOW,ADF,0.0,0.0,0.4
307,0.1,LOW,ADF,0.0,0.0,0.4
308,0.1,LOW,ADF,0.0,0.0,0.4
309,0.1,LOW,ADF,0.0,0.0,0.4
310,0.1,LOW,ADF,0.0,0.0,0.4
311,0.1,LOW,ADF,0.0,0.0,0.4
312,0.1,LOW,ADF,0.0,0.0,0.4
313,0.1,LOW,ADF,0.0,0.0,0.4
314,0.1,LOW,ADF,0.0,0.0,0.4
315,0.1,LOW,ADF,0.0,0.0,0.4
316,0.1,LOW,ADF,0.0,0.0,0.4
317,0.1,LOW,ADF,0.0,0.0,0.4
318,0.1,LOW,ADF,0.0,0.0,0.4
319,0.1,LOW,ADF,0.0,0.0,0.4
320,0.1,LOW,ADF,0.0,0.0,0.4
321,0.1,LOW,ADF,0.0,0.0,0.4
322,0.1,LOW,ADF,0.0,0.0,0.4
323,0.1,LOW,ADF,0.0,0.0,0.4
324,0.1,LOW,ADF,0.0,0.0,0.4
325,0.1,LOW,ADF,0.0,0.0,0.4
326,0.1,LOW,ADF,0.0,0.0,0.4
327,0.1,LOW,ADF,0.0,0.0,0.4
328,0.1,LOW,ADF,0.0,0.0,0.4
329,0.1,LOW,ADF,0.0,0.0,0.4
330,0.1,LOW,ADF,0.0,0.0,0.4
331,0.1,LOW,ADF,0.0,0.0,0.4
332,0.1,LOW,ADF,0.0,0.0,0.4
335,0.1,LOW,ADF,0.0,0.0,0.4
336,0.1,LOW,ADF,0.0,0.0,0.4
337,0.1,LOW,ADF,0.0,0.0,0.4
338,0.1,LOW,ADF,0.0,0.0,0.4
339,0.1,LOW,ADF,0.0,0.0,0.4
340,0.1,LOW,ADF,0.0,0.0,0.4
341,0.1,LOW,ADF,0.0,0.0,0.4
342,0.1,LOW,ADF,0.0,0.0,0.4
343,0.1,LOW,ADF,0.0,0.0,0.4
344,0.1,LOW,ADF,0.0,0.0,0.4
345,0.1,LOW,ADF,0.0,0.0,0.4
346,0.1,LOW,ADF,0.0,0.0,0.4
347,0.1,LOW,ADF,0.0,0.0,0.4
348,0.1,LOW,ADF,0.0,0.0,0.4
349,0.1,LOW,ADF,0.0,0.0,0.4
350,0.1,LOW,ADF,0.0,0.0,0.4
351,0.1,LOW,ADF,0.0,0.0,0.4
352,0.1,LOW,ADF,0.0,0.0,0.4
353,0.1,LOW,ADF,0.0,0.0,0.4
354,0.1,LOW,ADF,0.0,0.0,0.4
355,0.1,LOW,ADF,0.0,0.0,0.4
356,0.1,LOW,ADF,0.0,0.0,0.4
357,0.1,LOW,ADF,0.0,0.0,0.4
358,0.1,LOW,ADF,0.0,0.0,0.4
359,0.1,LOW,ADF,0.0,0.0,0.4
360,0.1,LOW,ADF,0.0,0.0,0.4
361,0.1,LOW,ADF,0.0,0.0,0.4
362,0.1,LOW,ADF,0.0,0.0,0.4
363,0.1,LOW,ADF,0.0,0.0,0.4
364,0.1,LOW,ADF,0.0,0.0,0.4
365,0.1,LOW,ADF,0.0,0.0,0.4
366,0.1,LOW,ADF,0.0,0.0,0.4
367,0.1,LOW,ADF,0.0,0.0,0.4
368,0.1,LOW,ADF,0.0,0.0,0.4
369,0.1,LOW,ADF,0.0,0.0,0.4
370,0.1,LOW,ADF,0.0,0.0,0.4
371,0.1,LOW,ADF,0.0,0.0,0.4
372,0.1,LOW,ADF,0.0,0.0,0.4
373,0.1,LOW,ADF,0.0,0.0,0.4
374,0.1,LOW,ADF,0.0,0.0,0.4
375,0.1,LOW,ADF,0.0,0.0,0.4
376,0.1,LOW,ADF,0.0,0.0,0.4
377,0.1,LOW,ADF,0.0,0.0,0.4
378,0.1,LOW,ADF,0.0,0.0,0.4
379,0.1,LOW,ADF,0.0,0.0,0.4
380,0.1,LOW,ADF,0.0,0.0,0.4
381,0.1,LOW,ADF,0.0,0.0,0.4
382,0.1,LOW,ADF,0.0,0.0,0.4
383,0.1,LOW,ADF,0.0,0.0,0.4
384,0.1,LOW,ADF,0.0,0.0,0.4
385,0.1,LOW,ADF,0.0,0.0,0.4
386,0.1,LOW,ADF,0.0,0.0,0.4
387,0.1,LOW,ADF,0.0,0.0,0.4
388,0.1,LOW,ADF,0.0,0.0,0.4
389,0.1,LOW,ADF,0.0,0.0,0.4
390,0.1,LOW,ADF,0.0,0.0,0.4
391,0.1,LOW,ADF,0.0,0.0,0.4
392,0.1,LOW,ADF,0.0,0.0,0.4
393,0.1,LOW,ADF,0.0,0.0,0.4
394,0.1,LOW,ADF,0.0,0.0,0.4
395,0.1,LOW,ADF,0.0,0.0,0.4
396,0.1,LOW,ADF,0.0,0.0,0.4
397,0.1,LOW,ADF,0.0,0.0,0.4
398,0.1,LOW,ADF,0.0,0.0,0.4
399,0.1,LOW,ADF,0.0,0.0,0.4
400,0.1,LOW,ADF,0.0,0.0,0.4
401,0.1,LOW,ADF,0.0,0.0,0.4
402,0.1,LOW,ADF,0.0,0.0,0.4
403,0.1,LOW,ADF,0.0,0.0,0.4
404,0.1,LOW,ADF,0.0,0.0,0.4
405,0.1,LOW,ADF,0.0,0.0,0.4
406,0.1,LOW,ADF,0.0,0.0,0.4
407,0.1,LOW,ADF,0.0,0.0,0.4
408,0.1,LOW,ADF,0.0,0.0,0.4
409,0.1,LOW,ADF,0.0,0.0,0.4
410,0.1,LOW,ADF,0.0,0.0,0.4
411,0.1,LOW,ADF,0.0,0.0,0.4
412,0.1,LOW,ADF,0.0,0.0,0.4
413,0.1,LOW,ADF,0.0,0.0,0.4
414,0.1,LOW,ADF,0.0,0.0,0.4
415,0.1,LOW,ADF,0.0,0.0,0.4
416,0.1,LOW,ADF,0.0,0.0,0.4
417,0.1,LOW,ADF,0.0,0.0,0.4
418,0.1,LOW,ADF,0.0,0.0,0.4
419,0.614,MODERATE,CFF_n,0.465,0.939,0.4
420,0.1,LOW,ADF,0.0,0.0,0.4
421,0.1,LOW,ADF,0.0,0.0,0.4
422,0.1,LOW,ADF,0.0,0.0,0.4
423,0.1,LOW,ADF,0.0,0.0,0.4
424,0.1,LOW,ADF,0.0,0.0,0.4
425,0.1,LOW,ADF,0.0,0.0,0.4
426,0.1,LOW,ADF,0.0,0.0,0.4
427,0.1,LOW,ADF,0.0,0.0,0.4
428,0.1,LOW,ADF,0.0,0.0,0.4
429,0.1,LOW,ADF,0.0,0.0,0.4
430,0.1,LOW,ADF,0.0,0.0,0.4
431,0.1,LOW,ADF,0.0,0.0,0.4
432,0.1,LOW,ADF,0.0,0.0,0.4
433,0.1,LOW,ADF,0.0,0.0,0.4
434,0.1,LOW,ADF,0.0,0.0,0.4
435,0.1,LOW,ADF,0.0,0.0,0.4
436,0.1,LOW,ADF,0.0,0.0,0.4
437,0.1,LOW,ADF,0.0,0.0,0.4
438,0.1,LOW,ADF,0.0,0.0,0.4
439,0.1,LOW,ADF,0.0,0.0,0.4
440,0.1,LOW,ADF,0.0,0.0,0.4
441,0.1,LOW,ADF,0.0,0.0,0.4
442,0.1,LOW,ADF,0.0,0.0,0.4
443,0.1,LOW,ADF,0.0,0.0,0.4
444,0.1,LOW,ADF,0.0,0.0,0.4
445,0.1,LOW,ADF,0.0,0.0,0.4
446,0.1,LOW,ADF,0.0,0.0,0.4
447,0.1,LOW,ADF,0.0,0.0,0.4
448,0.1,LOW,ADF,0.0,0.0,0.4
449,0.1,LOW,ADF,0.0,0.0,0.4
450,0.1,LOW,ADF,0.0,0.0,0.4
451,0.1,LOW,ADF,0.0,0.0,0.4
452,0.1,LOW,ADF,0.0,0.0,0.4
453,0.1,LOW,ADF,0.0,0.0,0.4
454,0.1,LOW,ADF,0.0,0.0,0.4
455,0.1,LOW,ADF,0.0,0.0,0.4
456,0.1,LOW,ADF,0.0,0.0,0.4
457,0.1,LOW,ADF,0.0,0.0,0.4
458,0.1,LOW,ADF,0.0,0.0,0.4
459,0.1,LOW,ADF,0.0,0.0,0.4
460,0.1,LOW,ADF,0.0,0.0,0.4
461,0.1,LOW,ADF,0.0,0.0,0.4
462,0.1,LOW,ADF,0.0,0.0,0.4
463,0.1,LOW,ADF,0.0,0.0,0.4
464,0.1,LOW,ADF,0.0,0.0,0.4
465,0.1,LOW,ADF,0.0,0.0,0.4
466,0.1,LOW,ADF,0.0,0.0,0.4
467,0.1,LOW,ADF,0.0,0.0,0.4
468,0.1,LOW,ADF,0.0,0.0,0.4
469,0.1,LOW,ADF,0.0,0.0,0.4
470,0.1,LOW,ADF,0.0,0.0,0.4
471,0.1,LOW,ADF,0.0,0.0,0.4
472,0.1,LOW,ADF,0.0,0.0,0.4
473,0.1,LOW,ADF,0.0,0.0,0.4
474,0.1,LOW,ADF,0.0,0.0,0.4
475,0.1,LOW,ADF,0.0,0.0,0.4
476,0.1,LOW,ADF,0.0,0.0,0.4
477,0.1,LOW,ADF,0.0,0.0,0.4
478,0.1,LOW,ADF,0.0,0.0,0.4
479,0.1,LOW,ADF,0.0,0.0,0.4
480,0.1,LOW,ADF,0.0,0.0,0.4
481,0.1,LOW,ADF,0.0,0.0,0.4
482,0.1,LOW,ADF,0.0,0.0,0.4
483,0.1,LOW,ADF,0.0,0.0,0.4
484,0.1,LOW,ADF,0.0,0.0,0.4
485,0.1,LOW,ADF,0.0,0.0,0.4
486,0.1,LOW,ADF,0.0,0.0,0.4
487,0.1,LOW,ADF,0.0,0.0,0.4
488,0.1,LOW,ADF,0.0,0.0,0.4
489,0.1,LOW,ADF,0.0,0.0,0.4
490,0.1,LOW,ADF,0.0,0.0,0.4
491,0.1,LOW,ADF,0.0,0.0,0.4
492,0.1,LOW,ADF,0.0,0.0,0.4
493,0.1,LOW,ADF,0.0,0.0,0.4
494,0.1,LOW,ADF,0.0,0.0,0.4
495,0.1,LOW,ADF,0.0,0.0,0.4
496,0.1,LOW,ADF,0.0,0.0,0.4
497,0.1,LOW,ADF,0.0,0.0,0.4
498,0.1,LOW,ADF,0.0,0.0,0.4
499,0.1,LOW,ADF,0.0,0.0,0.4
500,0.1,LOW,ADF,0.0,0.0,0.4
501,0.1,LOW,ADF,0.0,0.0,0.4
502,0.1,LOW,ADF,0.0,0.0,0.4
503,0.1,LOW,ADF,0.0,0.0,0.4
504,0.1,LOW,ADF,0.0,0.0,0.4
505,0.1,LOW,ADF,0.0,0.0,0.4
506,0.1,LOW,ADF,0.0,0.0,0.4
507,0.1,LOW,ADF,0.0,0.0,0.4
508,0.1,LOW,ADF,0.0,0.0,0.4
509,0.1,LOW,ADF,0.0,0.0,0.4
510,0.1,LOW,ADF,0.0,0.0,0.4
511,0.1,LOW,ADF,0.0,0.0,0.4
512,0.1,LOW,ADF,0.0,0.0,0.4
513,0.1,LOW,ADF,0.0,0.0,0.4
514,0.1,LOW,ADF,0.0,0.0,0.4
515,0.1,LOW,ADF,0.0,0.0,0.4
516,0.1,LOW,ADF,0.0,0.0,0.4
517,0.1,LOW,ADF,0.0,0.0,0.4
518,0.1,LOW,ADF,0.0,0.0,0.4
519,0.1,LOW,ADF,0.0,0.0,0.4
520,0.1,LOW,ADF,0.0,0.0,0.4
521,0.1,LOW,ADF,0.0,0.0,0.4
522,0.1,LOW,ADF,0.0,0.0,0.4
523,0.1,LOW,ADF,0.0,0.0,0.4
524,0.1,LOW,ADF,0.0,0.0,0.4
525,0.1,LOW,ADF,0.0,0.0,0.4
526,0.1,LOW,ADF,0.0,0.0,0.4
527,0.1,LOW,ADF,0.0,0.0,0.4
528,0.1,LOW,ADF,0.0,0.0,0.4
529,0.1,LOW,ADF,0.0,0.0,0.4
530,0.1,LOW,ADF,0.0,0.0,0.4
531,0.1,LOW,ADF,0.0,0.0,0.4
532,0.1,LOW,ADF,0.0,0.0,0.4
533,0.1,LOW,ADF,0.0,0.0,0.4
534,0.1,LOW,ADF,0.0,0.0,0.4
535,0.1,LOW,ADF,0.0,0.0,0.4
536,0.1,LOW,ADF,0.0,0.0,0.4
537,0.1,LOW,ADF,0.0,0.0,0.4
538,0.1,LOW,ADF,0.0,0.0,0.4
539,0.1,LOW,ADF,0.0,0.0,0.4
540,0.1,LOW,ADF,0.0,0.0,0.4
